id,title,overview,genres,keywords,original_language,release_date,vote_average,vote_count,popularity,runtime,adult,video,genre_list,keyword_list,genres_str,keywords_str,release_year,clean_overview,model_text
100001,제주의 파도의 비밀 001,"제주도의 작은 해안마을을 배경으로, 고향으로 돌아온 요리사가 마을 사람들만 알고 있는 비밀스러운 규칙을 알게 된다. 이 과정에서 기술과 인간성을 마주하며 자신의 삶을 다시 바라본다. 코미디와 미스터리의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","[{""id"": 2, ""name"": ""코미디""}, {""id"": 5, ""name"": ""미스터리""}]","[{""id"": 103, ""name"": ""기억""}, {""id"": 110, ""name"": ""추적""}, {""id"": 123, ""name"": ""역사""}, {""id"": 102, ""name"": ""우정""}]",ko,2000-01-01,5.1,80,16.471,78,False,False,"['코미디', '미스터리']","['기억', '추적', '역사', '우정']",코미디 미스터리,기억 추적 역사 우정,2000,"제주도의 작은 해안마을을 배경으로, 고향으로 돌아온 요리사가 마을 사람들만 알고 있는 비밀스러운 규칙을 알게 된다. 이 과정에서 기술과 인간성을 마주하며 자신의 삶을 다시 바라본다. 코미디와 미스터리의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","제주도의 작은 해안마을을 배경으로, 고향으로 돌아온 요리사가 마을 사람들만 알고 있는 비밀스러운 규칙을 알게 된다. 이 과정에서 기술과 인간성을 마주하며 자신의 삶을 다시 바라본다. 코미디와 미스터리의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화. 코미디 미스터리 기억 추적 역사 우정"
100002,서울의 섬로 가는 길 002,"강원도의 산골마을을 배경으로, 택배 기사가 인공지능이 작성한 의문의 일기를 추적한다. 이 과정에서 기억과 정체성을 마주하며 자신의 삶을 다시 바라본다. 범죄와 애니메이션의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 7, ""name"": ""범죄""}, {""id"": 12, ""name"": ""애니메이션""}]","[{""id"": 102, ""name"": ""우정""}, {""id"": 105, ""name"": ""제주""}, {""id"": 104, ""name"": ""미스터리""}, {""id"": 120, ""name"": ""언론""}]",ko,2000-02-20,6.7,217,26.208,91,False,False,"['범죄', '애니메이션']","['우정', '제주', '미스터리', '언론']",범죄 애니메이션,우정 제주 미스터리 언론,2000,"강원도의 산골마을을 배경으로, 택배 기사가 인공지능이 작성한 의문의 일기를 추적한다. 이 과정에서 기억과 정체성을 마주하며 자신의 삶을 다시 바라본다. 범죄와 애니메이션의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","강원도의 산골마을을 배경으로, 택배 기사가 인공지능이 작성한 의문의 일기를 추적한다. 이 과정에서 기억과 정체성을 마주하며 자신의 삶을 다시 바라본다. 범죄와 애니메이션의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 범죄 애니메이션 우정 제주 미스터리 언론"
100003,부산의 노래과 우리 003,"전주의 한옥마을을 배경으로, 가족과 멀어진 의사가 우연히 과거의 사건과 연결된 사진을 발견한다. 이 과정에서 우정과 신뢰을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 스릴러의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 12, ""name"": ""애니메이션""}, {""id"": 4, ""name"": ""스릴러""}]","[{""id"": 103, ""name"": ""기억""}, {""id"": 101, ""name"": ""가족""}, {""id"": 106, ""name"": ""서울""}, {""id"": 119, ""name"": ""환경""}]",ko,2000-04-10,8.5,354,31.911,104,False,False,"['애니메이션', '스릴러']","['기억', '가족', '서울', '환경']",애니메이션 스릴러,기억 가족 서울 환경,2000,"전주의 한옥마을을 배경으로, 가족과 멀어진 의사가 우연히 과거의 사건과 연결된 사진을 발견한다. 이 과정에서 우정과 신뢰을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 스릴러의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","전주의 한옥마을을 배경으로, 가족과 멀어진 의사가 우연히 과거의 사건과 연결된 사진을 발견한다. 이 과정에서 우정과 신뢰을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 스릴러의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 애니메이션 스릴러 기억 가족 서울 환경"
100004,한강의 탐정에게 004,"가상의 미래 도시을 배경으로, 고향으로 돌아온 요리사가 가족이 숨겨온 오래된 약속의 의미를 알게 된다. 이 과정에서 가족의 의미을 마주하며 자신의 삶을 다시 바라본다. 코미디와 모험의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","[{""id"": 2, ""name"": ""코미디""}, {""id"": 11, ""name"": ""모험""}]","[{""id"": 115, ""name"": ""요리""}, {""id"": 106, ""name"": ""서울""}, {""id"": 110, ""name"": ""추적""}, {""id"": 105, ""name"": ""제주""}]",ko,2000-05-30,6.6,491,29.744,117,False,False,"['코미디', '모험']","['요리', '서울', '추적', '제주']",코미디 모험,요리 서울 추적 제주,2000,"가상의 미래 도시을 배경으로, 고향으로 돌아온 요리사가 가족이 숨겨온 오래된 약속의 의미를 알게 된다. 이 과정에서 가족의 의미을 마주하며 자신의 삶을 다시 바라본다. 코미디와 모험의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","가상의 미래 도시을 배경으로, 고향으로 돌아온 요리사가 가족이 숨겨온 오래된 약속의 의미를 알게 된다. 이 과정에서 가족의 의미을 마주하며 자신의 삶을 다시 바라본다. 코미디와 모험의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화. 코미디 모험 요리 서울 추적 제주"
100005,새벽의 레시피 005,"국경 근처의 작은 역을 배경으로, 택배 기사가 폐쇄 예정인 공간을 지키기 위한 계획을 세운다. 이 과정에서 상실과 회복을 마주하며 자신의 삶을 다시 바라본다. 범죄와 로맨스의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 7, ""name"": ""범죄""}, {""id"": 3, ""name"": ""로맨스""}]","[{""id"": 116, ""name"": ""학교""}, {""id"": 118, ""name"": ""미래""}, {""id"": 120, ""name"": ""언론""}, {""id"": 108, ""name"": ""인공지능""}]",ko,2000-07-19,8.2,628,24.253,130,False,False,"['범죄', '로맨스']","['학교', '미래', '언론', '인공지능']",범죄 로맨스,학교 미래 언론 인공지능,2000,"국경 근처의 작은 역을 배경으로, 택배 기사가 폐쇄 예정인 공간을 지키기 위한 계획을 세운다. 이 과정에서 상실과 회복을 마주하며 자신의 삶을 다시 바라본다. 범죄와 로맨스의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","국경 근처의 작은 역을 배경으로, 택배 기사가 폐쇄 예정인 공간을 지키기 위한 계획을 세운다. 이 과정에서 상실과 회복을 마주하며 자신의 삶을 다시 바라본다. 범죄와 로맨스의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 범죄 로맨스 학교 미래 언론 인공지능"
100006,겨울의 눈의 끝 006,"부산항 인근을 배경으로, 가족과 멀어진 의사가 수십 년 전 사라진 편지 한 통을 발견한다. 이 과정에서 도전과 성장을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 SF의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 12, ""name"": ""애니메이션""}, {""id"": 10, ""name"": ""SF""}]","[{""id"": 111, ""name"": ""성장""}, {""id"": 104, ""name"": ""미스터리""}, {""id"": 116, ""name"": ""학교""}, {""id"": 109, ""name"": ""로봇""}]",ko,2000-09-07,6.2,765,23.764,78,False,False,"['애니메이션', 'SF']","['성장', '미스터리', '학교', '로봇']",애니메이션 SF,성장 미스터리 학교 로봇,2000,"부산항 인근을 배경으로, 가족과 멀어진 의사가 수십 년 전 사라진 편지 한 통을 발견한다. 이 과정에서 도전과 성장을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 SF의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","부산항 인근을 배경으로, 가족과 멀어진 의사가 수십 년 전 사라진 편지 한 통을 발견한다. 이 과정에서 도전과 성장을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 SF의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 애니메이션 SF 성장 미스터리 학교 로봇"
100007,여름의 골목의 선택 007,"인천의 낡은 공단을 배경으로, 고향으로 돌아온 요리사가 가짜 뉴스로 인해 무너진 관계를 회복하려 한다. 이 과정에서 진실과 거짓을 마주하며 자신의 삶을 다시 바라본다. 코미디와 미스터리의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","[{""id"": 2, ""name"": ""코미디""}, {""id"": 5, ""name"": ""미스터리""}]","[{""id"": 116, ""name"": ""학교""}, {""id"": 120, ""name"": ""언론""}, {""id"": 101, ""name"": ""가족""}, {""id"": 113, ""name"": ""여행""}]",ko,2000-10-27,7.9,902,32.918,91,False,False,"['코미디', '미스터리']","['학교', '언론', '가족', '여행']",코미디 미스터리,학교 언론 가족 여행,2000,"인천의 낡은 공단을 배경으로, 고향으로 돌아온 요리사가 가짜 뉴스로 인해 무너진 관계를 회복하려 한다. 이 과정에서 진실과 거짓을 마주하며 자신의 삶을 다시 바라본다. 코미디와 미스터리의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","인천의 낡은 공단을 배경으로, 고향으로 돌아온 요리사가 가짜 뉴스로 인해 무너진 관계를 회복하려 한다. 이 과정에서 진실과 거짓을 마주하며 자신의 삶을 다시 바라본다. 코미디와 미스터리의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화. 코미디 미스터리 학교 언론 가족 여행"
100008,봄날의 마을을 기다리며 008,"광주의 대학가을 배경으로, 택배 기사가 정체를 알 수 없는 음성 메시지를 매일 받기 시작한다. 이 과정에서 환경과 공존을 마주하며 자신의 삶을 다시 바라본다. 범죄와 판타지의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 7, ""name"": ""범죄""}, {""id"": 9, ""name"": ""판타지""}]","[{""id"": 110, ""name"": ""추적""}, {""id"": 105, ""name"": ""제주""}, {""id"": 106, ""name"": ""서울""}, {""id"": 103, ""name"": ""기억""}]",ko,2000-05-13,6.2,1039,19.261,104,False,False,"['범죄', '판타지']","['추적', '제주', '서울', '기억']",범죄 판타지,추적 제주 서울 기억,2000,"광주의 대학가을 배경으로, 택배 기사가 정체를 알 수 없는 음성 메시지를 매일 받기 시작한다. 이 과정에서 환경과 공존을 마주하며 자신의 삶을 다시 바라본다. 범죄와 판타지의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","광주의 대학가을 배경으로, 택배 기사가 정체를 알 수 없는 음성 메시지를 매일 받기 시작한다. 이 과정에서 환경과 공존을 마주하며 자신의 삶을 다시 바라본다. 범죄와 판타지의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 범죄 판타지 추적 제주 서울 기억"
100009,가을의 열차의 계절 009,"외딴 섬을 배경으로, 가족과 멀어진 의사가 도시 전체의 전력이 사라진 밤에 중요한 선택을 한다. 이 과정에서 세대 간 갈등을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 드라마의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 12, ""name"": ""애니메이션""}, {""id"": 1, ""name"": ""드라마""}]","[{""id"": 117, ""name"": ""범죄""}, {""id"": 122, ""name"": ""공동체""}, {""id"": 104, ""name"": ""미스터리""}, {""id"": 118, ""name"": ""미래""}]",ko,2000-07-02,7.7,1176,36.857,117,False,False,"['애니메이션', '드라마']","['범죄', '공동체', '미스터리', '미래']",애니메이션 드라마,범죄 공동체 미스터리 미래,2000,"외딴 섬을 배경으로, 가족과 멀어진 의사가 도시 전체의 전력이 사라진 밤에 중요한 선택을 한다. 이 과정에서 세대 간 갈등을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 드라마의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","외딴 섬을 배경으로, 가족과 멀어진 의사가 도시 전체의 전력이 사라진 밤에 중요한 선택을 한다. 이 과정에서 세대 간 갈등을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 드라마의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 애니메이션 드라마 범죄 공동체 미스터리 미래"
100010,푸른 우주선의 기록 010,"서울의 오래된 골목을 배경으로, 고향으로 돌아온 요리사가 하루가 반복되는 이상한 현상을 겪는다. 이 과정에서 사랑과 이별을 마주하며 자신의 삶을 다시 바라본다. 코미디와 가족의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","[{""id"": 2, ""name"": ""코미디""}, {""id"": 8, ""name"": ""가족""}]","[{""id"": 117, ""name"": ""범죄""}, {""id"": 110, ""name"": ""추적""}, {""id"": 106, ""name"": ""서울""}, {""id"": 113, ""name"": ""여행""}]",ko,2000-08-21,5.8,1313,21.116,130,False,False,"['코미디', '가족']","['범죄', '추적', '서울', '여행']",코미디 가족,범죄 추적 서울 여행,2000,"서울의 오래된 골목을 배경으로, 고향으로 돌아온 요리사가 하루가 반복되는 이상한 현상을 겪는다. 이 과정에서 사랑과 이별을 마주하며 자신의 삶을 다시 바라본다. 코미디와 가족의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","서울의 오래된 골목을 배경으로, 고향으로 돌아온 요리사가 하루가 반복되는 이상한 현상을 겪는다. 이 과정에서 사랑과 이별을 마주하며 자신의 삶을 다시 바라본다. 코미디와 가족의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화. 코미디 가족 범죄 추적 서울 여행"
